         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      417    0.001    0.000    0.002    0.000 _make.py:2558(__getstate__)
27704/27297    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     5040    0.001    0.000    0.002    0.000 PngImagePlugin.py:154(_crc32)
        1    0.000    0.000    0.002    0.002 player.py:1(<module>)
     4977    0.001    0.000    0.002    0.000 __init__.py:1467(debug)
        1    0.000    0.000    0.002    0.002 xsync.py:1(<module>)
     3150    0.002    0.000    0.002    0.000 ImageFile.py:555(_safe_read)
        1    0.000    0.000    0.002    0.002 application.py:811(set_vsync)
        1    0.000    0.000    0.002    0.002 __init__.py:502(set_vsync)
     2114    0.002    0.000    0.002    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.002    0.002 _make.py:1(<module>)
      385    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2245    0.002    0.000    0.002    0.000 pathlib.py:524(_format_parsed_parts)
       22    0.000    0.000    0.002    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.002    0.002 buttons.py:1(<module>)
      315    0.001    0.000    0.002    0.000 image_data.py:26(put)
        1    0.000    0.000    0.002    0.002 xinerama.py:1(<module>)
    21489    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      283    0.001    0.000    0.002    0.000 Image.py:2896(new)
       11    0.000    0.000    0.002    0.000 text.py:15(load_font)
       97    0.000    0.000    0.002    0.000 typing.py:1528(__getitem__)
       14    0.000    0.000    0.002    0.000 lib.py:248(_find_libs)
       14    0.000    0.000    0.002    0.000 subprocess.py:1740(_execute_child)
       28    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
        1    0.000    0.000    0.002    0.002 freetype_lib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fractions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
     4446    0.002    0.000    0.002    0.000 Image.py:512(__init__)
       19    0.000    0.000    0.002    0.000 vertex_array.py:524(render)
     2036    0.001    0.000    0.002    0.000 typing.py:1274(__setattr__)
        3    0.000    0.000    0.002    0.001 layer.py:340(_parse_group_layer)
      430    0.001    0.000    0.002    0.000 enum.py:356(__setitem__)
       88    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      189    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
